gmaps_place_id,place_name,business_status,formatted_address,gmaps_uri,latitude,longitude,national_phone_number,international_phone_number,website_uri,rating,user_rating_count,tags,review_1,review_2,review_3
ChIJBRnk5h8Z2jERVN9GqC6hpJs,Tokyo Soba (Tanjong Pagar),OPERATIONAL,"12 Gopeng St, #01-12/13/14 Icon Village, Singapore 078877",https://maps.google.com/?cid=11215266193823162196&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,1.2753468,103.84406349999999,6410 9353,+65 6410 9353,https://www.tokyo-soba.com/,4.3,527.0,"casual, customers leave happy, free flow, hidden, japanese, noodles, pretty dry broth, qr code menu, quiet, than some places, wakame excellent pricing","Tried the duck meat soba and tempura soba. The noodles had the right amount of texture and the broth was flavourful with  a hint of yuzu which was quite nice. Overall, a nice and quiet value for money soba shop in town.","Soba noodles were perfectly chewy and al dente + seasoned spinach was served in a generous portion + free flow kelp was a bonus! Place was nice and quiet when we went, so it was perfect for a good catchup meal.",Good soba and dipping broth. Soba could be firmer.  The sides are sort of above average - had the tempura which was alright and the duck was pretty dry. Broth was flavourful but too salty.
ChIJawC3ZFAZ2jEREtf2WSROJwo,Maji Curry Square 2,OPERATIONAL,"10 Sinaran Dr, #02-07, Singapore 307506",https://maps.google.com/?cid=731639382506133266&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,1.3209681,103.84397,8494 4898,+65 8494 4898,http://majicurry.com/,4.6,763.0,"alfresco, alfresco seats outside, crowded, curry, dinner, friendly, group, japanese, lunch, narrow, outdoor, paid lunch set, portable aircon fan, rice, small, steak, who value space, whoever sits close","The curry here is good and the Katsu are freshly fried and of high quality. Although the food is not the top top top quality, it is great and at the price point I paid (Lunch set price), it is a 5 star.  The space is not big, so be mentally prepared to wait of U go at crowded time.","Have to take the high reviews with a pinch of salt as they have freebies for writing a review, following their IG etc. Tried the level 3 curry for the cheese katsu curry rice and it was nice and spicy. Portion is big. Cheese texture and taste is more like bechamel than cheese. Choice of small salad bowl used could have been better, cos the greens kept falling out just by moving the cutlery to spear them. Place is narrow and Ventilation is poor, and whoever sits close to the portable aircon/fan w","Tried the curry at Maui Curry and it was really satisfying!  The curry sauce was rich and flavourful, the katsu was crispy on the outside and juicy inside, and the eggplant was nicely cooked and absorbed the curry well. The portion was very generous, big enough for 2 people to share. Will definitely come back again!"
ChIJdewHhLYZ2jERMOvH9S_d_7Q,Elijah Pies @ King George's,OPERATIONAL,"803 King George's Ave, #02-216, Singapore 200803",https://maps.google.com/?cid=13042386243944966960&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,1.3085438999999999,103.8611468,9855 9480,+65 9855 9480,https://www.elijahpies.com.sg/,4.4,240.0,"elegant, husband s gifted, shortcrust base of, solo, sweet tart base, tea, thoughtful gift option, wild berry lavender","The lavender pie was alright but the pistachio praline tart I recommend! Not too sweet, tart base  is gd and def can taste the quality of pistachio used. Staff also very responsive on the whatsapp platform and accommodating when I had abit of an issue with collection before closing.","Fantastic experience! Even with my last-minute request, the coordination was quick and responsive. The pies were lovely, especially the pistachio praline. Highly recommended!"," A friend of my husband's gifted a box of two Elijah pies for his coming birthday. I believe the flavours were Wild Berry Lavender and Chocolate.   The shortcrust base of the tart was just nice, it wasn't too hard nor too soft. The creamy fillings were well balanced in flavour and not too sweet. I prefer the Lavender pie out of the two.   And the pies looked so pretty, like works of art!"
ChIJiZVLl5IX2jERTIgO8Iv1qV4,LiHO TEA @ 18 Tai Seng,OPERATIONAL,"18 Tai Seng St, #B1-11, Singapore 539775",https://maps.google.com/?cid=6821253092006070348&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,1.3363707999999999,103.8887929,6027 5782,+65 6027 5782,https://lihomenu.sg/liho-tea-18-tai-seng/,3.8,160.0,"bubble tea, busy, friendly, friendly helpful attentive, hot humid weather, lunch, person who prepared, tea, wasn t up",Making a redeem from a purchase at shopee required to have a membership account in LIHO app.  It's very inconvenient for non LIHO app user.  The store male staff is very helpful in assisting me download and order inside the app.,"waited for so long at the cashier then asked to order. the staff said ""no i'm busy"" then walk away. i asked again just ignore.","LiHO Bubble Tea this outlet is located at 18 Tai Seng Street #B1-11 Singapore 539775, conveniently accessible by public transportation & Tai Seng MRT. I enjoyed Ice Honey Jasmine Tea, so refreshing so cool to have after my lunch, a wonderful chillax time in this hot & humid weather. The staff are friendly, helpful & attentive, my appreciation indeed to the male staff , he was kind & polite and advised me to join as a member , thank you"
ChIJJfTNnu0Z2jERbnACwz4zeuk,Buona Terra,OPERATIONAL,"29 Scotts Rd, Singapore 228224",https://maps.google.com/?cid=16823815702648615022&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,1.310717,103.834701,6733 0209,+65 6733 0209,http://www.buonaterra.com.sg/,4.5,335.0,"barbecue, calm, dinner, fine dining, friendly, intimate, italian, modern, pasta, space if youre, tiny, top quality flavors, truffle perfectly cooked, weren t used, wine, winning dish of","Buona Terra  A refined Italian fine-dining destination in Singapore that balances elegance with warmth. Buona Terra delivers a modern interpretation of Italian cuisine, where classic foundations are respected but gently updated with precision and restraint.  The cooking is polished and thoughtfulingredients are top quality, flavors are layered without being heavy, and each course feels deliberate. The tasting menu flows smoothly, keeping you engaged throughout, while the wine pairings are handle","Had a wonderful dinner here with my Mrs to celebrate my birthday.  Service was friendly and not intrusive. They were attentive from a distant and was always on hand if necessary.  Food was presented beautifully and tasted excellent. When we shared that the lemon zest for the pasta was a little faint, the chef didnt take it too well and decided to whipped up another pasta dish for us. The carbonara with truffle perfectly cooked and the taste was spot on. We were so appreciative of their effort to","A terrible experience. The other dishes were fine, but the fish was undercooked and tasted awful. We asked the chef to come out and explain, but he came out standing defiantly with arms akimbo, insisting that was how he cooked it and that we just weren't used to it. He assumed a confrontational stance, ready to argue. I have never encountered such service at a Michelin-starred restaurantit was shocking and unacceptable."
ChIJD4mwDcUZ2jERWqma5YgAt_Q,SYIP (Farrer Park),OPERATIONAL,"79 Owen Rd, Singapore 218895",https://maps.google.com/?cid=17633563453960137050&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,1.3131115,103.853365,,,http://www.syipcafe.com.sg/,4.2,674.0,"alfresco, authentic, brunch, cafe, cake, coffee, dessert, friendly, group, ikura kombu capellini, intimate, mentaiko scallop pasta, noisy, other diners mentioned, pasta, purposefully carving out, udon, warm","Friendly and approachable staff. Food is unique, delicious and awesome. We ordered the crab sandwich,Brussels sprouts and carbonara.  Coffee and matcha taste amazing too,  Definitely will come back again when possible. Definitely recommend making an appt first.","The drinks here were the standout. I ordered the Genmaicha with Pistachio Foam and it was done really well, authentic pistachio taste and consistency of the foam was silky smooth. Other drinks that my group ordered were great too including the coffee. Past reviews from other diners mentioned that the portions of the food were little compared to their cost  they seemed to have worked on this feedback as the portions for our food were great. Ikura Kombu Capellini was indeed a tad salty, though fla","We visited on a Sunday afternoon; the crowd was manageable. Service was decent. I enjoyed the tiramisu; it was soft, rich, and flavorful, like a good slice of cake! The coffee, however, was a bit too strong for my taste, possibly due to the beans used. I'll return to try their food next time!"
ChIJiW3b9rsZ2jERaeFjHM6s6Lo,Rochor Original Beancurd,OPERATIONAL,"2 Short St, Singapore 188211",https://maps.google.com/?cid=13468204686891016553&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,1.3020125,103.85034329999999,6334 1138,+65 6334 1138,http://www.rochororiginal.com.sg/,3.6,1794.0,"find better ones, hawker, local, local hawker centers, some soy milk, soya bean drink, water n sugar","I was in the area and decided to stop by for beancurd ($2), as this used to be my favourite stall for it. My last visit was a few years ago.  I'm not sure if they have changed the recipe or if my taste has simply become more refined, but it just did not feel as smooth","Beancurd was poor, not as good as last time. It is not soft and silky , a bit hard for beancurd. The soya bean drink tasted like water n sugar , very diluted . Service staff at the counter were prc aunties and they sounded rude. I will not return for their food and drinks again. I can find better ones at local hawker centers.","Been awhile since I visited them for their beancurd. I usually get the soy milk only. Today I bought 4 bowls of beancurd and some soy milk.  The soymilk was okay but the beancurd was clearly spoiled. I didn't check upon purchase bc it was packed already. But as u can refer to the picture, the syrup was cloudly and the bowl even has bubbles/foam. It was sour tasting and clearly not fresh. Disappointing. Had to throw the rest of the bowls away as it was wayyy too sour and weird tasting to be consu"
ChIJlZFOPvcb2jERb9S8fGVz4CM,Daehwa Korean,OPERATIONAL,"1 Fusionopolis Pl, #01-35 Galaxis, Singapore 138522",https://maps.google.com/?cid=2585193065832305775&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,1.30016,103.78817780000001,8500 9451,+65 8500 9451,https://daehwavegetarian.com/,4.6,705.0,"authentic, group, healthy, japchae veg noodles, korean, lots of mushrooms, lunch, noodles, out of curiosity, sweetly explained whats, vegan, vegetarian","Didnt expect this to be a Korean vegan restaurant, but it was a pleasant surprise for our team lunch. The Janchi Guksu stood out  light soup with a gentle sweetness, very comforting, healthy, and well balanced.  Yachae Jeon was crispy and not greasy, and the Classic Kimbap was simple, fresh, and satisfying. A great spot for lighter Korean comfort food.","First time i tried Korean vegetarian restaurant and was very sceptical about going to it but trust me was one of the  best vegetarian restaurant i had tried. Each dish was so rich flavourful and mildly spice.  Must try their Kimchi pancake, will go again just for this. Also the mandu and kimbap tasted good.  The fried broccoli was the best broccoli i ever had, so soft and mildly crunchy with perfect balance of sauces. The kimchi stew with noodles was also spot on.  A must try vegetarian place es",Ordered the japchae veg noodles - it was really flavourful with lots of mushrooms and veggies. Would come back here to try their other dishes like the bibimbap and pancake  Also it was my 1st time here so one of the staff very sweetly explained whats recommended and explained the different  dishes so that was very much appreciated.
ChIJLwxDpm4Z2jERbUXUCH_FQqU,LITTLE GLASS STAND,OPERATIONAL,"30 Raffles Pl, #01-21, Singapore 048622",https://maps.google.com/?cid=11908297514120660333&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,1.2841088999999999,103.852015,,,http://www.glassroasters.com/,4.2,72.0,"coffee, informative as well, interesting pairing giving, now plus points, strong fragrant coffee, tiny, tiny coffee shop","This tiny coffee shop is perfect if you need a quick caffeine boostit gets the job done without being mind-blowing. The service is quick and efficient. Be aware that seating is very limited, so it's primarily a takeaway spot.","Maybe its partially my fault, i ordered a strawberry matcha which i did not realise is known is strawberries and cream on the menu, and the server mentioned that the matcha is premade, which should have been another sign. But their version of strawberry matcha(added $1 for oat milk) for the price of $12, is really bad. The premade matcha is apparently made with cream and does not mix well with the rest of the drink, it just kinda floats on top so its like matcha cream floating on strawberry milk","Cute corner for CBD coffee run!!  Quite surprised how good is their coffee ngl, absolutely perfect balance with strong fragrant coffee."
ChIJYTK_ZKgZ2jER1oSlX155b_0,O'ma Spoon Korean Dessert Cafe – Authentic Bingsu & Waffles (313@Somerset),OPERATIONAL,"313 Orchard Rd, #04 - 32 313@somerset, Singapore 238895",https://maps.google.com/?cid=18261948460249220310&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,1.3010488,103.8384614,6333 0995,+65 6333 0995,https://www.instagram.com/omaspoon/,4.3,656.0,"bakery, busy, cafe, crowded, dessert, ice cream, normal sized bowls, people enjoying what, soya powder topped, spicy chicken dish",I really enjoyed my visit here! My favourite was the CHOCO BANANA BINGSU which chocolate ice cream lovers will definitely like. I left very full and satisfied and Id definitely recommend this place to others! (more on @gourmetguidee on Instagram),"Craved a sweet treat and decided to try this cafe. Been eyeing it for a while and was quite excited for first impressions. Walked in at about 4:30PM on a Saturday, quite packed, with few empty tables.  The Milo banana bingsu was unavailable so we settled for the Choco banana bingsu. Now if the name says Choco banana, youd expect there to be idk maybe more than 8 slices of banana?? Thats like not even half a single banana for something thats $17.  Anyways, everything else tasted good. Perhaps the","While enjoying some nice spicy chicken dish at floor above, we happen to notice the busy place below. We knew it was something that served sweet dish or bakery stuff but decided to go and check the place out. And wow, Oma Spoon was a revelation.  Place was filled with people enjoying what looked like big full bowl of ice creams topped with something more sinister and tasty. We decided to take help   We were clueless as to what to order and that too for take away, and were helped by wonderful sta"
